team,team_other,diff
ARI,ARI,NA
ARI,ATL,NA
ARI,BAL,NA
ARI,BUF,NA
ARI,CAR,NA
ARI,CHI,NA
ARI,CIN,NA
ARI,CLE,NA
ARI,DAL,NA
ARI,DEN,NA
ARI,DET,NA
ARI,GB,NA
ARI,HOU,NA
ARI,IND,NA
ARI,JAC,NA
ARI,KC,NA
ARI,MIA,NA
ARI,MIN,-3
ARI,NE,NA
ARI,NO,NA
ARI,NYG,NA
ARI,NYJ,NA
ARI,OAK,NA
ARI,PHI,NA
ARI,PIT,NA
ARI,SD,NA
ARI,SEA,NA
ARI,SF,NA
ARI,STL,NA
ARI,TB,NA
ARI,TEN,NA
ARI,WAS,NA
ATL,ARI,NA
ATL,ATL,NA
ATL,BAL,NA
ATL,BUF,NA
ATL,CAR,NA
ATL,CHI,NA
ATL,CIN,NA
ATL,CLE,NA
ATL,DAL,NA
ATL,DEN,NA
ATL,DET,NA
ATL,GB,NA
ATL,HOU,NA
ATL,IND,NA
ATL,JAC,NA
ATL,KC,NA
ATL,MIA,NA
ATL,MIN,NA
ATL,NE,NA
ATL,NO,NA
ATL,NYG,NA
ATL,NYJ,NA
ATL,OAK,NA
ATL,PHI,NA
ATL,PIT,NA
ATL,SD,NA
ATL,SEA,NA
ATL,SF,NA
ATL,STL,NA
ATL,TB,6
ATL,TEN,NA
ATL,WAS,NA
BAL,ARI,NA
BAL,ATL,NA
BAL,BAL,NA
BAL,BUF,NA
BAL,CAR,NA
BAL,CHI,NA
BAL,CIN,NA
BAL,CLE,NA
BAL,DAL,NA
BAL,DEN,NA
BAL,DET,NA
BAL,GB,NA
BAL,HOU,NA
BAL,IND,NA
BAL,JAC,NA
BAL,KC,NA
BAL,MIA,16
BAL,MIN,NA
BAL,NE,NA
BAL,NO,NA
BAL,NYG,NA
BAL,NYJ,NA
BAL,OAK,NA
BAL,PHI,NA
BAL,PIT,NA
BAL,SD,NA
BAL,SEA,NA
BAL,SF,NA
BAL,STL,NA
BAL,TB,NA
BAL,TEN,NA
BAL,WAS,NA
BUF,ARI,NA
BUF,ATL,NA
BUF,BAL,NA
BUF,BUF,NA
BUF,CAR,NA
BUF,CHI,-3
BUF,CIN,NA
BUF,CLE,NA
BUF,DAL,NA
BUF,DEN,NA
BUF,DET,NA
BUF,GB,NA
BUF,HOU,NA
BUF,IND,NA
BUF,JAC,NA
BUF,KC,NA
BUF,MIA,NA
BUF,MIN,NA
BUF,NE,NA
BUF,NO,NA
BUF,NYG,NA
BUF,NYJ,NA
BUF,OAK,NA
BUF,PHI,NA
BUF,PIT,NA
BUF,SD,NA
BUF,SEA,NA
BUF,SF,NA
BUF,STL,NA
BUF,TB,NA
BUF,TEN,NA
BUF,WAS,NA
CAR,ARI,NA
CAR,ATL,NA
CAR,BAL,NA
CAR,BUF,NA
CAR,CAR,NA
CAR,CHI,NA
CAR,CIN,NA
CAR,CLE,NA
CAR,DAL,NA
CAR,DEN,NA
CAR,DET,NA
CAR,GB,NA
CAR,HOU,NA
CAR,IND,NA
CAR,JAC,NA
CAR,KC,NA
CAR,MIA,NA
CAR,MIN,NA
CAR,NE,NA
CAR,NO,-31
CAR,NYG,NA
CAR,NYJ,NA
CAR,OAK,NA
CAR,PHI,NA
CAR,PIT,NA
CAR,SD,NA
CAR,SEA,NA
CAR,SF,NA
CAR,STL,NA
CAR,TB,NA
CAR,TEN,NA
CAR,WAS,NA
CHI,ARI,NA
CHI,ATL,NA
CHI,BAL,NA
CHI,BUF,3
CHI,CAR,NA
CHI,CHI,NA
CHI,CIN,NA
CHI,CLE,NA
CHI,DAL,NA
CHI,DEN,NA
CHI,DET,NA
CHI,GB,NA
CHI,HOU,NA
CHI,IND,NA
CHI,JAC,NA
CHI,KC,NA
CHI,MIA,NA
CHI,MIN,NA
CHI,NE,NA
CHI,NO,NA
CHI,NYG,NA
CHI,NYJ,NA
CHI,OAK,NA
CHI,PHI,NA
CHI,PIT,NA
CHI,SD,NA
CHI,SEA,NA
CHI,SF,NA
CHI,STL,NA
CHI,TB,NA
CHI,TEN,NA
CHI,WAS,NA
CIN,ARI,NA
CIN,ATL,NA
CIN,BAL,NA
CIN,BUF,NA
CIN,CAR,NA
CIN,CHI,NA
CIN,CIN,NA
CIN,CLE,NA
CIN,DAL,NA
CIN,DEN,NA
CIN,DET,NA
CIN,GB,NA
CIN,HOU,NA
CIN,IND,NA
CIN,JAC,NA
CIN,KC,NA
CIN,MIA,NA
CIN,MIN,NA
CIN,NE,NA
